REF_DATE,GEO,DGUID,Labour force status (8),Age (15A),Coordinate,Gender (3):Total - Gender[1],Symbol,Gender (3):Men+[2],Symbol,Gender (3):Women+[3],Symbol
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,55 to 64 years,43.5.12,220,,70,,150,
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,65 years and over,43.5.13,760,,375,,390,
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,65 to 74 years,43.5.14,480,,240,,245,
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,75 years and over,43.5.15,280,,135,,150,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,Total - Age,43.6.1,48.7,,52.0,,46.1,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,15 to 24 years,43.6.2,47.1,,50.0,,42.9,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,15 to 19 years,43.6.3,36.8,,42.9,,25.0,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,20 to 24 years,43.6.4,60.0,,42.9,,55.6,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,25 to 64 years,43.6.5,72.8,,78.6,,67.8,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,25 to 54 years,43.6.6,81.8,,84.3,,79.6,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,25 to 34 years,43.6.7,79.1,,81.0,,77.3,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,25 to 29 years,43.6.8,73.3,,73.3,,73.3,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,30 to 34 years,43.6.9,85.7,,100.0,,75.0,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,35 to 44 years,43.6.10,85.5,,87.1,,83.9,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,45 to 54 years,43.6.11,80.3,,87.1,,79.5,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,55 to 64 years,43.6.12,55.9,,72.3,,46.3,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,65 years and over,43.6.13,9.0,,8.5,,9.4,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,65 to 74 years,43.6.14,11.8,,11.1,,12.7,
2021,"Division No.  1, Subd. E",2021A00051001304,Participation rate,75 years and over,43.6.15,3.4,,0.0,,0.0,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,Total - Age,43.7.1,38.6,,38.8,,38.4,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,15 to 24 years,43.7.2,29.4,,21.4,,33.3,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,15 to 19 years,43.7.3,26.3,,42.9,,16.7,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,20 to 24 years,43.7.4,40.0,,0.0,,55.6,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,25 to 64 years,43.7.5,58.0,,61.1,,55.3,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,25 to 54 years,43.7.6,67.4,,66.3,,67.3,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,25 to 34 years,43.7.7,60.5,,61.9,,59.1,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,25 to 29 years,43.7.8,50.0,,53.3,,46.7,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,30 to 34 years,43.7.9,78.6,,100.0,,62.5,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,35 to 44 years,43.7.10,74.2,,71.0,,77.4,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,45 to 54 years,43.7.11,65.8,,64.5,,68.2,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,55 to 64 years,43.7.12,41.2,,51.1,,31.5,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,65 years and over,43.7.13,7.2,,4.9,,8.2,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,65 to 74 years,43.7.14,9.1,,7.4,,10.9,
2021,"Division No.  1, Subd. E",2021A00051001304,Employment rate,75 years and over,43.7.15,3.4,,0.0,,0.0,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,Total - Age,43.8.1,21.2,,25.4,,16.8,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,15 to 24 years,43.8.2,31.3,,42.9,,22.2,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,15 to 19 years,43.8.3,28.6,,0.0,,0.0,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,20 to 24 years,43.8.4,33.3,,66.7,,0.0,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,25 to 64 years,43.8.5,20.4,,23.3,,17.5,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,25 to 54 years,43.8.6,17.6,,21.4,,14.1,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,25 to 34 years,43.8.7,23.5,,23.5,,23.5,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,25 to 29 years,43.8.8,31.8,,27.3,,27.3,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,30 to 34 years,43.8.9,16.7,,0.0,,0.0,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,35 to 44 years,43.8.10,13.2,,18.5,,7.7,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,45 to 54 years,43.8.11,18.0,,22.2,,14.3,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,55 to 64 years,43.8.12,26.3,,26.5,,28.0,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,65 years and over,43.8.13,26.7,,42.9,,0.0,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,65 to 74 years,43.8.14,30.8,,50.0,,0.0,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployment rate,75 years and over,43.8.15,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Total - Labour force status,Total - Age,44.1.1,275,,130,,150,
2021,Whiteway,2021A00051001308,Total - Labour force status,15 to 24 years,44.1.2,25,,0,,20,
2021,Whiteway,2021A00051001308,Total - Labour force status,15 to 19 years,44.1.3,15,,0,,10,
2021,Whiteway,2021A00051001308,Total - Labour force status,20 to 24 years,44.1.4,10,,0,,10,
2021,Whiteway,2021A00051001308,Total - Labour force status,25 to 64 years,44.1.5,155,,75,,85,
2021,Whiteway,2021A00051001308,Total - Labour force status,25 to 54 years,44.1.6,115,,55,,60,
2021,Whiteway,2021A00051001308,Total - Labour force status,25 to 34 years,44.1.7,35,,25,,15,
2021,Whiteway,2021A00051001308,Total - Labour force status,25 to 29 years,44.1.8,20,,10,,15,
2021,Whiteway,2021A00051001308,Total - Labour force status,30 to 34 years,44.1.9,15,,15,,0,
2021,Whiteway,2021A00051001308,Total - Labour force status,35 to 44 years,44.1.10,40,,15,,25,
2021,Whiteway,2021A00051001308,Total - Labour force status,45 to 54 years,44.1.11,35,,15,,20,
2021,Whiteway,2021A00051001308,Total - Labour force status,55 to 64 years,44.1.12,35,,20,,20,
2021,Whiteway,2021A00051001308,Total - Labour force status,65 years and over,44.1.13,100,,55,,50,
2021,Whiteway,2021A00051001308,Total - Labour force status,65 to 74 years,44.1.14,90,,45,,45,
2021,Whiteway,2021A00051001308,Total - Labour force status,75 years and over,44.1.15,10,,10,,0,
2021,Whiteway,2021A00051001308,In the labour force,Total - Age,44.2.1,170,,80,,90,
2021,Whiteway,2021A00051001308,In the labour force,15 to 24 years,44.2.2,10,,0,,10,
2021,Whiteway,2021A00051001308,In the labour force,15 to 19 years,44.2.3,0,,0,,0,
2021,Whiteway,2021A00051001308,In the labour force,20 to 24 years,44.2.4,10,,0,,10,
2021,Whiteway,2021A00051001308,In the labour force,25 to 64 years,44.2.5,145,,75,,70,
2021,Whiteway,2021A00051001308,In the labour force,25 to 54 years,44.2.6,110,,55,,55,
2021,Whiteway,2021A00051001308,In the labour force,25 to 34 years,44.2.7,35,,25,,15,
2021,Whiteway,2021A00051001308,In the labour force,25 to 29 years,44.2.8,20,,10,,15,
2021,Whiteway,2021A00051001308,In the labour force,30 to 34 years,44.2.9,15,,15,,0,
2021,Whiteway,2021A00051001308,In the labour force,35 to 44 years,44.2.10,40,,15,,20,
2021,Whiteway,2021A00051001308,In the labour force,45 to 54 years,44.2.11,35,,15,,20,
2021,Whiteway,2021A00051001308,In the labour force,55 to 64 years,44.2.12,35,,20,,15,
2021,Whiteway,2021A00051001308,In the labour force,65 years and over,44.2.13,15,,10,,10,
2021,Whiteway,2021A00051001308,In the labour force,65 to 74 years,44.2.14,15,,10,,10,
2021,Whiteway,2021A00051001308,In the labour force,75 years and over,44.2.15,0,,0,,0,
2021,Whiteway,2021A00051001308,Employed,Total - Age,44.3.1,160,,80,,85,
2021,Whiteway,2021A00051001308,Employed,15 to 24 years,44.3.2,10,,0,,10,
2021,Whiteway,2021A00051001308,Employed,15 to 19 years,44.3.3,0,,0,,0,
2021,Whiteway,2021A00051001308,Employed,20 to 24 years,44.3.4,10,,0,,10,
2021,Whiteway,2021A00051001308,Employed,25 to 64 years,44.3.5,135,,70,,65,
2021,Whiteway,2021A00051001308,Employed,25 to 54 years,44.3.6,100,,50,,50,
2021,Whiteway,2021A00051001308,Employed,25 to 34 years,44.3.7,35,,25,,15,
2021,Whiteway,2021A00051001308,Employed,25 to 29 years,44.3.8,20,,0,,15,
2021,Whiteway,2021A00051001308,Employed,30 to 34 years,44.3.9,15,,15,,0,
2021,Whiteway,2021A00051001308,Employed,35 to 44 years,44.3.10,40,,15,,20,
2021,Whiteway,2021A00051001308,Employed,45 to 54 years,44.3.11,30,,15,,15,
2021,Whiteway,2021A00051001308,Employed,55 to 64 years,44.3.12,35,,20,,15,
2021,Whiteway,2021A00051001308,Employed,65 years and over,44.3.13,15,,10,,10,
2021,Whiteway,2021A00051001308,Employed,65 to 74 years,44.3.14,15,,10,,10,
2021,Whiteway,2021A00051001308,Employed,75 years and over,44.3.15,0,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,Total - Age,44.4.1,10,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,15 to 24 years,44.4.2,0,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,15 to 19 years,44.4.3,0,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,20 to 24 years,44.4.4,0,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,25 to 64 years,44.4.5,10,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,25 to 54 years,44.4.6,10,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,25 to 34 years,44.4.7,0,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,25 to 29 years,44.4.8,0,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,30 to 34 years,44.4.9,0,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,35 to 44 years,44.4.10,0,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,45 to 54 years,44.4.11,0,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,55 to 64 years,44.4.12,0,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,65 years and over,44.4.13,0,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,65 to 74 years,44.4.14,0,,0,,0,
2021,Whiteway,2021A00051001308,Unemployed,75 years and over,44.4.15,0,,0,,0,
2021,Whiteway,2021A00051001308,Not in the labour force,Total - Age,44.5.1,110,,50,,60,
2021,Whiteway,2021A00051001308,Not in the labour force,15 to 24 years,44.5.2,15,,0,,10,
2021,Whiteway,2021A00051001308,Not in the labour force,15 to 19 years,44.5.3,15,,0,,10,
2021,Whiteway,2021A00051001308,Not in the labour force,20 to 24 years,44.5.4,0,,0,,0,
2021,Whiteway,2021A00051001308,Not in the labour force,25 to 64 years,44.5.5,10,,0,,10,
2021,Whiteway,2021A00051001308,Not in the labour force,25 to 54 years,44.5.6,0,,0,,0,
2021,Whiteway,2021A00051001308,Not in the labour force,25 to 34 years,44.5.7,0,,0,,0,
2021,Whiteway,2021A00051001308,Not in the labour force,25 to 29 years,44.5.8,0,,0,,0,
2021,Whiteway,2021A00051001308,Not in the labour force,30 to 34 years,44.5.9,0,,0,,0,
2021,Whiteway,2021A00051001308,Not in the labour force,35 to 44 years,44.5.10,0,,0,,0,
2021,Whiteway,2021A00051001308,Not in the labour force,45 to 54 years,44.5.11,0,,0,,0,
2021,Whiteway,2021A00051001308,Not in the labour force,55 to 64 years,44.5.12,0,,0,,0,
2021,Whiteway,2021A00051001308,Not in the labour force,65 years and over,44.5.13,85,,45,,40,
2021,Whiteway,2021A00051001308,Not in the labour force,65 to 74 years,44.5.14,75,,35,,35,
2021,Whiteway,2021A00051001308,Not in the labour force,75 years and over,44.5.15,10,,10,,0,
2021,Whiteway,2021A00051001308,Participation rate,Total - Age,44.6.1,61.8,,61.5,,60.0,
2021,Whiteway,2021A00051001308,Participation rate,15 to 24 years,44.6.2,40.0,,0.0,,50.0,
2021,Whiteway,2021A00051001308,Participation rate,15 to 19 years,44.6.3,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Participation rate,20 to 24 years,44.6.4,100.0,,0.0,,100.0,
2021,Whiteway,2021A00051001308,Participation rate,25 to 64 years,44.6.5,93.5,,100.0,,82.4,
2021,Whiteway,2021A00051001308,Participation rate,25 to 54 years,44.6.6,95.7,,100.0,,91.7,
2021,Whiteway,2021A00051001308,Participation rate,25 to 34 years,44.6.7,100.0,,100.0,,100.0,
2021,Whiteway,2021A00051001308,Participation rate,25 to 29 years,44.6.8,100.0,,100.0,,100.0,
2021,Whiteway,2021A00051001308,Participation rate,30 to 34 years,44.6.9,100.0,,100.0,,0.0,
2021,Whiteway,2021A00051001308,Participation rate,35 to 44 years,44.6.10,100.0,,100.0,,80.0,
2021,Whiteway,2021A00051001308,Participation rate,45 to 54 years,44.6.11,100.0,,100.0,,100.0,
2021,Whiteway,2021A00051001308,Participation rate,55 to 64 years,44.6.12,100.0,,100.0,,75.0,
2021,Whiteway,2021A00051001308,Participation rate,65 years and over,44.6.13,15.0,,18.2,,20.0,
2021,Whiteway,2021A00051001308,Participation rate,65 to 74 years,44.6.14,16.7,,22.2,,22.2,
2021,Whiteway,2021A00051001308,Participation rate,75 years and over,44.6.15,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Employment rate,Total - Age,44.7.1,58.2,,61.5,,56.7,
2021,Whiteway,2021A00051001308,Employment rate,15 to 24 years,44.7.2,40.0,,0.0,,50.0,
2021,Whiteway,2021A00051001308,Employment rate,15 to 19 years,44.7.3,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Employment rate,20 to 24 years,44.7.4,100.0,,0.0,,100.0,
2021,Whiteway,2021A00051001308,Employment rate,25 to 64 years,44.7.5,87.1,,93.3,,76.5,
2021,Whiteway,2021A00051001308,Employment rate,25 to 54 years,44.7.6,87.0,,90.9,,83.3,
2021,Whiteway,2021A00051001308,Employment rate,25 to 34 years,44.7.7,100.0,,100.0,,100.0,
2021,Whiteway,2021A00051001308,Employment rate,25 to 29 years,44.7.8,100.0,,0.0,,100.0,
2021,Whiteway,2021A00051001308,Employment rate,30 to 34 years,44.7.9,100.0,,100.0,,0.0,
2021,Whiteway,2021A00051001308,Employment rate,35 to 44 years,44.7.10,100.0,,100.0,,80.0,
2021,Whiteway,2021A00051001308,Employment rate,45 to 54 years,44.7.11,85.7,,100.0,,75.0,
2021,Whiteway,2021A00051001308,Employment rate,55 to 64 years,44.7.12,100.0,,100.0,,75.0,
2021,Whiteway,2021A00051001308,Employment rate,65 years and over,44.7.13,15.0,,18.2,,20.0,
2021,Whiteway,2021A00051001308,Employment rate,65 to 74 years,44.7.14,16.7,,22.2,,22.2,
2021,Whiteway,2021A00051001308,Employment rate,75 years and over,44.7.15,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,Total - Age,44.8.1,5.9,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,15 to 24 years,44.8.2,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,15 to 19 years,44.8.3,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,20 to 24 years,44.8.4,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,25 to 64 years,44.8.5,6.9,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,25 to 54 years,44.8.6,9.1,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,25 to 34 years,44.8.7,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,25 to 29 years,44.8.8,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,30 to 34 years,44.8.9,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,35 to 44 years,44.8.10,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,45 to 54 years,44.8.11,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,55 to 64 years,44.8.12,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,65 years and over,44.8.13,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,65 to 74 years,44.8.14,0.0,,0.0,,0.0,
2021,Whiteway,2021A00051001308,Unemployment rate,75 years and over,44.8.15,0.0,,0.0,,0.0,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,Total - Age,45.1.1,625,,300,,325,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,15 to 24 years,45.1.2,55,,25,,25,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,15 to 19 years,45.1.3,20,,15,,10,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,20 to 24 years,45.1.4,30,,10,,15,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,25 to 64 years,45.1.5,355,,180,,170,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,25 to 54 years,45.1.6,205,,110,,100,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,25 to 34 years,45.1.7,45,,30,,15,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,25 to 29 years,45.1.8,0,,0,,0,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,30 to 34 years,45.1.9,45,,25,,15,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,35 to 44 years,45.1.10,75,,45,,30,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,45 to 54 years,45.1.11,90,,35,,50,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,55 to 64 years,45.1.12,145,,75,,70,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,65 years and over,45.1.13,225,,90,,130,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,65 to 74 years,45.1.14,150,,65,,85,
2021,Heart's Delight-Islington,2021A00051001312,Total - Labour force status,75 years and over,45.1.15,70,,30,,45,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,Total - Age,45.2.1,305,,150,,160,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,15 to 24 years,45.2.2,35,,20,,15,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,15 to 19 years,45.2.3,10,,0,,10,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,20 to 24 years,45.2.4,25,,10,,10,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,25 to 64 years,45.2.5,250,,120,,130,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,25 to 54 years,45.2.6,170,,90,,85,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,25 to 34 years,45.2.7,45,,25,,15,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,25 to 29 years,45.2.8,0,,0,,0,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,30 to 34 years,45.2.9,45,,25,,15,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,35 to 44 years,45.2.10,50,,25,,20,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,45 to 54 years,45.2.11,80,,35,,45,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,55 to 64 years,45.2.12,75,,30,,45,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,65 years and over,45.2.13,20,,10,,15,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,65 to 74 years,45.2.14,20,,10,,15,
2021,Heart's Delight-Islington,2021A00051001312,In the labour force,75 years and over,45.2.15,0,,0,,0,
2021,Heart's Delight-Islington,2021A00051001312,Employed,Total - Age,45.3.1,250,,125,,120,
2021,Heart's Delight-Islington,2021A00051001312,Employed,15 to 24 years,45.3.2,25,,10,,10,
2021,Heart's Delight-Islington,2021A00051001312,Employed,15 to 19 years,45.3.3,10,,0,,10,
2021,Heart's Delight-Islington,2021A00051001312,Employed,20 to 24 years,45.3.4,20,,10,,0,
2021,Heart's Delight-Islington,2021A00051001312,Employed,25 to 64 years,45.3.5,195,,100,,95,
2021,Heart's Delight-Islington,2021A00051001312,Employed,25 to 54 years,45.3.6,140,,75,,65,
2021,Heart's Delight-Islington,2021A00051001312,Employed,25 to 34 years,45.3.7,45,,25,,15,
2021,Heart's Delight-Islington,2021A00051001312,Employed,25 to 29 years,45.3.8,0,,0,,0,
2021,Heart's Delight-Islington,2021A00051001312,Employed,30 to 34 years,45.3.9,45,,25,,15,
2021,Heart's Delight-Islington,2021A00051001312,Employed,35 to 44 years,45.3.10,40,,25,,10,
2021,Heart's Delight-Islington,2021A00051001312,Employed,45 to 54 years,45.3.11,65,,30,,35,
2021,Heart's Delight-Islington,2021A00051001312,Employed,55 to 64 years,45.3.12,55,,20,,35,
2021,Heart's Delight-Islington,2021A00051001312,Employed,65 years and over,45.3.13,20,,10,,15,
2021,Heart's Delight-Islington,2021A00051001312,Employed,65 to 74 years,45.3.14,20,,10,,15,
