CSDNAME,CSDUID,Proportion of the Labour Force that is Men+ (%),Proportion of the Employed Population that is Men+ (%)
Whitecap,4711828,46.3415,46.6667
Pleasant Valley No. 288,4712001,50,51.5152
St. Andrews No. 287,4712004,60.9756,61.5385
Rosetown,4712006,53.4615,52.4194
Zealandia,4712008,50,50
Milden No. 286,4712011,54.5455,54.5455
Milden,4712012,33.3333,36.3636
Dinsmore,4712016,50,48
Macrorie,4712019,75,75
Fertile Valley No. 285,4712020,61.0169,60.3448
Conquest,4712022,35.7143,35.7143
Montrose No. 315,4712026,56.6265,56.7901
Harris No. 316,4712029,57.6923,60
Harris,4712032,43.75,46.6667
Marriott No. 317,4712034,52.9412,53.125
Mountain View No. 318,4712038,59.375,58.0645
Biggar No. 347,4712042,55.2239,56.9231
Biggar,4712046,51.5464,51.0753
Perdue No. 346,4712050,50,50
Perdue,4712051,57.5,59.4595
Vanscoy No. 345,4712054,55.1829,55.1948
Delisle,4712056,49.0566,49
Vanscoy,4712058,57.1429,54.5455
Asquith,4712059,57.5758,54.386
Eagle Creek No. 376,4712064,56,56.5217
Glenside No. 377,4712069,57.8947,57.8947
Rosemount No. 378,4712072,66.6667,70
Battle River No. 438,4712078,54.1284,55
Battleford,4712079,49.3363,47.9616
Red Pheasant 108,4712829,46.1538,50
Sweet Grass 113,4712833,50,47.619
Brock,4713002,62.5,53.3333
Kindersley No. 290,4713006,52.4272,51.4851
Kindersley,4713008,53.5156,53.3333
Flaxcombe,4713009,58.3333,45.4545
Milton No. 292,4713011,61.1111,53.3333
Marengo,4713014,66.6667,66.6667
Antelope Park No. 322,4713016,52.6316,52.6316
Prairiedale No. 321,4713019,61.1111,61.1111
Oakdale No. 320,4713024,50,50
Coleville,4713026,62.5,64.5161
Winslow No. 319,4713028,60,64.8649
Dodsland,4713029,66.6667,62.5
Plenty,4713031,70,70
Grandview No. 349,4713032,53.125,53.125
Mariposa No. 350,4713038,62.069,60.7143
Progress No. 351,4713041,57.1429,57.1429
Kerrobert,4713042,53.8462,47.9167
Luseland,4713044,52.7273,52.8302
Heart's Hill No. 352,4713046,54.2857,54.2857
Eye Hill No. 382,4713049,59.7701,58.8235
Macklin,4713051,55.7971,53.8462
Denzil,4713054,64.2857,69.2308
Grass Lake No. 381,4713056,54.5455,56.0976
Tramping Lake No. 380,4713059,55.5556,55.5556
Scott,4713062,0,0
Reford No. 379,4713064,55.1724,59.2593
Landis,4713067,58.8235,62.5
Buffalo No. 409,4713068,50,50.7937
Wilkie,4713069,45.8333,44.4444
Round Valley No. 410,4713072,59.5238,57.1429
Unity,4713074,53.6885,54.7009
Senlac No. 411,4713076,60,58.6207
Manitou Lake No. 442,4713079,61.9048,61.6667
Marsden,4713091,62.963,57.6923
Hillsdale No. 440,4713092,66.6667,68.4211
Neilburg,4713094,57.5758,54.8387
Cut Knife No. 439,4713096,57.5758,58.0645
Cut Knife,4713098,42.5926,42
Poundmaker 114,4713835,54.5455,55.5556
Little Pine 116,4713836,55,50
Hudson Bay No. 394,4714001,54.7826,51.9608
Hudson Bay,4714004,53.1746,51.7241
Porcupine No. 395,4714006,49.4382,49.4253
Porcupine Plain,4714007,56.7901,56.4103
Kelvington No. 366,4714021,62.5,63.0435
Kelvington,4714022,48.0519,46.5753
Ponass Lake No. 367,4714023,61.5385,64
Rose Valley,4714024,54.1667,59.0909
Spalding No. 368,4714026,57.4468,58.5366
Spalding,4714028,52.9412,52.9412
Pleasantdale,4714030,55.5556,50
Naicam,4714032,58.0645,59.0164
Barrier Valley No. 397,4714034,62.5,63.0435
Pleasantdale No. 398,4714035,52.0548,54.2857
Archerwill,4714036,50,46.1538
Bjorkdale No. 426,4714038,57.5342,57.971
Bjorkdale,4714041,56.25,60
Tisdale No. 427,4714043,59.375,61.3636
Tisdale,4714044,50,49.635
Star City No. 428,4714047,53.2609,51.7241
Star City,4714049,51.3514,51.5152
Melfort,4714051,51.1589,51.2367
Willow Creek No. 458,4714053,56.962,56
Connaught No. 457,4714056,59.6774,57.6271
Ridgedale,4714058,70,70
Arborfield No. 456,4714059,60.9756,60
Zenon Park,4714061,50,55
Arborfield,4714062,57.6923,58.3333
Moose Range No. 486,4714067,55.5556,54.3689
Tobin Lake,4714068,50,50
Carrot River,4714069,50.9615,48.4536
Nipawin No. 487,4714072,56.1905,56.8627
Aylsham,4714073,75,75
Codette,4714074,60,56.5217
Nipawin,4714076,52.0581,51.2
Torch River No. 488,4714077,54.6763,56.25
White Fox,4714079,56,52.1739
Love,4714091,57.1429,66.6667
Choiceland,4714092,46.6667,40.7407
Smeaton,4714093,62.5,53.8462
Shoal Lake 28A,4714839,47.8261,47.619
Red Earth 29,4714840,52.6316,52.6316
Yellowquill 90,4714841,38.8889,46.1538
Kinistin 91,4714842,53.8462,54.5455
Yellow Quill 90-9,4714843,66.6667,0
Carrot River 29A,4714845,48.3871,48.2759
St. Peter No. 369,4715001,57.1429,58.75
Englefeld,4715002,58.8235,59.375
St. Gregor,4715003,35.7143,41.6667
Muenster,4715004,52.7778,48.4848
Annaheim,4715005,63.1579,61.1111
Lake Lenore,4715006,55.1724,57.1429
Humboldt No. 370,4715007,60,60
Humboldt,4715008,51.5306,51.4286
Bayne No. 371,4715011,55.7377,56.8966
Bruno,4715012,52.0833,55.814
Grant No. 372,4715014,54.5455,53.9683
Prud'homme,4715016,40.9091,47.0588
Vonda,4715017,51.3514,52.9412
Aberdeen No. 373,4715018,56.3953,55.8282
Aberdeen,4715019,51.4706,50
Laird No. 404,4715026,53.1469,54.2857
Hepburn,4715027,54.023,56.0976
Waldheim,4715028,56.7797,58.3333
Laird,4715029,53.3333,57.1429
Rosthern No. 403,4715031,56.391,55.9846
Rosthern,4715032,45.5782,46.7153
Hague,4715034,55.2381,55.2381
Fish Creek No. 402,4715036,57.8947,55.5556
Alvena,4715038,66.6667,66.6667
Hoodoo No. 401,4715039,53.8462,55.9524
Cudworth,4715041,55.9322,54.5455
Wakaw,4715042,56.25,58.1818
Wakaw Lake,4715043,37.5,42.8571
Three Lakes No. 400,4715044,59.322,59.6491
Pilger,4715045,66.6667,66.6667
St. Benedict,4715046,0,0
Middle Lake,4715047,61.9048,57.8947
Lake Lenore No. 399,4715048,53.4483,52.6316
St. Brieux,4715049,58.9744,57.6923
Flett's Springs No. 429,4715051,55.9524,56.0976
Invergordon No. 430,4715054,46.2963,43.75
St. Louis No. 431,4715057,57.1429,55.6701
St. Louis,4715059,50,48.4848
Duck Lake No. 463,4715061,52.7778,55.8824
Duck Lake,4715062,50,47.2222
Prince Albert No. 461,4715064,53.0547,52.5773
Prince Albert,4715066,49.7965,49.0312
Birch Hills No. 460,4715067,53.5211,50
Birch Hills,4715068,54.7619,55.1282
Candle Lake,4715070,54.6296,55.2083
Kinistino No. 459,4715071,57.971,59.6774
Weldon,4715072,33.3333,50
Kinistino,4715074,50.9091,48
Lakeland No. 521,4715075,49.0566,48.9796
Christopher Lake,4715076,48.2759,50
Garden River No. 490,4715079,57.5342,58.3333
Albertville,4715085,64.2857,64.2857
Weirdale,4715091,41.6667,44.4444
Meath Park,4715092,58.8235,53.3333
Buckland No. 491,4715094,52.0115,51.227
Paddockwood,4715098,52.9412,52.9412
Paddockwood No. 520,4715099,52.9412,50
Kiskaciwan No. 208,4715820,33.3333,40
One Arrow 95,4715844,42.8571,50
Beardy's 97 and Okemasis 96,4715845,50.9434,48.8372
Muskoday First Nation,4715847,56,54.0541
Wahpaton 94A,4715848,41.1765,42.8571
James Smith 100,4715849,50,48.1481
Cumberland 100A,4715850,53.8462,50
Little Red River 106C,4715851,50,46.6667
Montreal Lake 106B,4715853,52.6316,50
Denholm,4716002,0,0
Maymont,4716004,37.5,0
Mayfield No. 406,4716005,50,50
Great Bend No. 405,4716008,60,57.5758
Radisson,4716009,60.5263,61.1111
Borden,4716011,50,51.7241
Blaine Lake No. 434,4716013,64.5833,63.8298
Marcelin,4716014,50,50
Blaine Lake,4716016,55.3571,55.7692
Redberry No. 435,4716018,52.6316,51.3514
Hafford,4716022,53.125,51.6129
Douglas No. 436,4716023,62.8571,62.8571
Speers,4716024,60,66.6667
North Battleford No. 437,4716028,53.3333,55.5556
North Battleford,4716029,50.1823,49.3443
Round Hill No. 467,4716033,56.8627,56.25
Meeting Lake No. 466,4716038,52.5,52.5
Leask No. 464,4716041,51.8519,51.3514
Leask,4716042,53.3333,48.2759
Pebble Baye,4716043,50,50
Parkside,4716044,47.619,45
Shellbrook No. 493,4716046,54.7619,54.0373
Shellbrook,4716047,52.9801,53.5211
Canwood No. 494,4716051,57.8231,57.971
Canwood,4716052,50,56.5217
Prince Albert National Park,4716053,50,50
Debden,4716054,56.5217,54.5455
Spiritwood No. 496,4716056,54.8387,54.7297
Shell Lake,4716057,52.9412,52.9412
Spiritwood,4716058,49.0385,50
Leoville,4716061,60,54.2857
Medstead No. 497,4716062,55.6962,54.2857
Medstead,4716063,40,50
Big River,4716072,47.7778,48.7805
Big River No. 555,4716075,56.8807,55.3398
Chitek Lake,4716077,66.6667,42.8571
Muskeg Lake Cree Nation 102,4716854,58.3333,57.1429
Mistawasis 103,4716855,51.2821,46.4286
Sturgeon Lake 101,4716856,53.4884,54.2857
Big River 118,4716858,53.5211,54.2373
Ahtahkakoop 104,4716860,52.3077,47.9167
Witchekan Lake 117,4716862,50,50
Chitek Lake 191,4716863,58.9744,55.1724
Pelican Lake 191B,4716880,80,80
Meota No. 468,4717001,52.1008,51.3043
Cochin,4717002,58.3333,50
Aquadeo,4717005,42.8571,42.8571
Meota,4717006,42.4242,43.3333
Turtle River No. 469,4717008,50,54.2857
Edam,4717011,50.9091,49.0196
Paynton No. 470,4717013,45.8333,45.8333
Paynton,4717014,58.3333,70
Eldon No. 471,4717017,58.6667,58.9041
Maidstone,4717018,51.2605,50.9259
Waseca,4717019,37.5,40
Wilton No. 472,4717022,55.625,56.2914
Lashburn,4717024,53.3333,55.7895
Marshall,4717026,58,59.0909
Britannia No. 502,4717028,55.2301,53.1818
Lloydminster (Part),4717029,52.3351,52.2881
Frenchman Butte No. 501,4717032,54.6875,52.2523
Paradise Hill,4717034,54,51.1628
St. Walburg,4717036,63.4921,59.2593
Mervin,4717039,52.381,50
Turtleford,4717041,56.3636,53.8462
Kivimaa-Moonlight Bay,4717042,60,50
Mervin No. 499,4717045,56.8862,55.9748
Parkdale No. 498,4717047,57.5,58.6667
Glaslyn,4717048,61.2903,64.2857
Meadow Lake,4717052,51.4677,51.0917
Meadow Lake No. 588,4717054,52.5253,52.4476
Dorintosh,4717055,57.1429,57.1429
Loon Lake No. 561,4717056,56.4103,57.3333
Makwa,4717057,40,50
Loon Lake,4717058,35.2941,26.6667
Beaver River No. 622,4717062,56.8493,54.5455
Goodsoil,4717066,61.9048,61.1111
Pierceland,4717067,47.619,47.3684
Seekaskootch 119,4717801,49.4118,45.4545
Makaoo (Part) 120,4717802,53.125,50
Thunderchild First Nation 115B,4717803,48.4848,45
Flying Dust First Nation 105,4717805,53.4483,51.1111
Waterhen 130,4717806,51.0638,48.5714
Makwa Lake 129B,4717807,50.9091,48.7179
Ministikwan 161,4717809,56.25,41.1765
Ministikwan 161A,4717810,83.3333,66.6667
Big Island Lake Cree Territory,4717811,43.3333,39.1304
Moosomin 112B,4717812,52,50
Saulteaux 159,4717813,53.3333,44.4444
Eagles Lake 165C,4717816,60,55.5556
Cumberland House,4718005,58.6207,51.8519
Timber Bay,4718012,50,0
Weyakwin,4718015,50,50
Green Lake,4718021,45.7143,48.3871
Cole Bay,4718028,61.9048,58.8235
Jans Bay,4718030,80,100
Beauval,4718033,41.8605,43.8356
La Ronge,4718041,52.2088,52.5114
Air Ronge,4718042,51.5625,54.3103
Denare Beach,4718049,54.9296,52.9412
Creighton,4718051,45.614,48.1481
Flin Flon (Part),4718052,66.6667,57.1429
Pelican Narrows,4718055,33.3333,40
Sandy Bay,4718058,45.4545,48.1481
Pinehouse,4718065,44.6429,40
Île-à-la-Crosse,4718067,44.4444,37.8378
Patuanak,4718069,50,40
Buffalo Narrows,4718070,43.75,39.0625
St. George's Hill,4718071,66.6667,100
La Loche,4718074,47.7941,46.0784
Turnor Lake,4718075,55.5556,50
"Division No. 18, Unorganized",4718090,49.1525,52.4272
Stony Rapids,4718100,61.1111,62.5
Cumberland House Cree Nation 20,4718801,56.4103,51.8519
Montreal Lake 106,4718802,59.5238,55.2632
Stanley 157,4718803,54.4444,52.3077
Wapaskokimaw 202,4718806,50,55.5556
La Plonge 192,4718807,33.3333,37.5
Morin Lake 217,4718808,54.5455,50
Lac La Ronge 156,4718809,55.0725,52.9412
Sucker River 156C (Nemebien River 156C),4718811,57.8947,46.6667
Kitsakie 156B,4718812,61.9048,56.25
Wapachewunak 192D,4718814,52.9412,52
Sturgeon Weir 205,4718815,66.6667,66.6667
Canoe Lake 165,4718817,50,48.7805
Buffalo River Dene Nation,4718818,51.9231,45
Turnor Lake 193B,4718819,50,47.619
Pelican Narrows 184B,4718820,51.7857,51.1628
Southend 200,4718822,53.5714,52.2727
Fond du Lac 227,4718824,56.25,53.8462
Southend No. 200A,4718826,57.1429,50
Pelican Narrows 206,4718827,57.1429,54.5455
Chicken 224,4718828,51.4706,41.4634
Grandmother's Bay 219,4718831,60,57.1429
Lac La Hache 220,4718832,51.6667,46.3415
Clearwater River Dene 222,4718839,51.1628,46.6667
Kimosom Pwatinahk 203,4718852,51.5152,50
Cypress County,4801003,54.0404,53.9295
Medicine Hat,4801006,51.3322,51.4593
Forty Mile County No. 8,4801008,63.9847,64.4
Foremost,4801009,54.717,53.8462
Bow Island,4801014,61.7143,60.9467
Redcliff,4801018,54.1096,53.125
Warner County No. 5,4802001,59.0226,59.144
Coutts,4802002,53.3333,51.7241
Milk River,4802004,56.9231,57.6271
Warner,4802006,57.6923,56.5217
Raymond,4802008,55.2023,54.4025
Stirling,4802009,57.4257,59.7826
Lethbridge County,4802011,57.5855,58.1187
Lethbridge,4802012,51.9652,51.9672
Coalhurst,4802013,55.1839,55.2239
Nobleford,4802014,61.2903,63.0252
Barons,4802016,77.7778,76.4706
Picture Butte,4802018,60.1156,61.0778
Coaldale,4802019,55.4286,56.5217
Taber,4802021,62.8346,62.5624
Taber,4802022,54.9828,55.5147
Barnwell,4802023,62.5,64.1791
Vauxhall,4802029,63.3028,63.2075
Newell County,4802031,57.2016,57.3746
Brooks,4802034,56.0675,56.1166
Duchess,4802036,58.0952,59.3407
Rosemary,4802038,66.6667,62.963
Bassano,4802039,56.25,58.4906
Cardston County,4803001,55.2941,55.5215
Magrath,4803002,58.1633,57.7778
Improvement District No. 4 Waterton,4803003,53.3333,53.8462
Cardston,4803004,52.649,53.9286
Glenwood,4803006,50,52.6316
Hill Spring,4803008,66.6667,50
Pincher Creek No. 9,4803011,53.7994,53.4202
Pincher Creek,4803014,51.0903,51.8519
Cowley,4803016,59.2593,50
Willow Creek No. 26,4803018,55.3763,55.6586
Fort Macleod,4803019,55.2448,55.9701
Claresholm,4803022,50.7837,49.8258
Stavely,4803024,58.9286,57.4468
Nanton,4803026,49.1304,51.6746
Piikani 147,4803801,48.8889,46.7532
Blood 148,4803802,46.2687,44.6602
Acadia No. 34,4804001,48.5714,54.8387
Special Area No. 2,4804004,55.7292,56.2162
Empress,4804006,47.3684,37.5
Hanna,4804011,54.1667,53.2407
Special Area No. 3,4804012,54.6875,55.7377
Oyen,4804014,48.5294,46.875
Youngstown,4804019,46.1538,40
Special Area No. 4,4804020,56.7376,57.7778
Veteran,4804021,50,50
Consort,4804022,52.1127,56.9231
Vulcan County,4805001,56.0345,56.6265
Carmangay,4805002,64.7059,60
Champion,4805004,48.2759,50
Vulcan,4805006,51.5625,51.3274
Lomond,4805008,66.6667,63.6364
Milo,4805009,54.5455,60
Arrowwood,4805011,78.5714,78.5714
Wheatland County,4805012,55.2448,55.6804
Strathmore,4805018,52.251,52.4962
Hussar,4805019,68.4211,64.7059
Standard,4805021,57.1429,58.0645
Rockyford,4805022,48.2759,48
Drumheller,4805026,53.432,52.1418
Starland County,4805031,55.9211,55.7143
Delia,4805034,50,44.4444
Munson,4805036,63.6364,57.8947
Morrin,4805038,57.8947,61.1111
Kneehill County,4805041,56.6474,55.9499
Carbon,4805042,55,52.7778
Acme,4805044,56.0606,59.322
Linden,4805046,59.4937,55.5556
Three Hills,4805048,51.2027,51.1719
Trochu,4805049,60.177,59.4059
Siksika 146,4805802,51.7241,49.1228
Foothills County,4806001,54.4274,54.2672
High River,4806006,52.276,51.5798
Longview,4806008,59.375,62.963
Turner Valley,4806009,52.2901,53.527
Black Diamond,4806011,51.3725,52.6087
Okotoks,4806012,52.1617,52.3645
Rocky View County,4806014,54.5808,54.2317
Calgary,4806016,52.3663,52.5566
Chestermere,4806017,52.3985,52.8624
Cochrane,4806019,51.7423,51.7967
Airdrie,4806021,52.3833,53.1646
Irricana,4806022,54.1353,50.8929
Beiseker,4806024,56.7901,57.971
Crossfield,4806026,55.3086,55.1247
Mountain View County,4806028,54.0686,53.7564
Carstairs,4806029,54.0984,54.2141
Cremona,4806031,55.2632,53.3333
Didsbury,4806032,52.0792,52.7594
Olds,4806034,52.8162,53.2391
Sundre,4806036,53.1365,52.521
Provost No. 52,4807001,55.8704,55.5556
Provost,4807002,53.8462,53.6458
Czar,4807004,62.5,61.5385
Hughenden,4807006,65,61.1111
Amisk,4807008,50,50
Paintearth County No. 18,4807011,53.3019,52.451
Coronation,4807012,54.3478,53.0864
Castor,4807014,55.3846,52.6316
Halkirk,4807016,60,60
Stettler County No. 6,4807019,54.8922,55.7143
Big Valley,4807021,52,55
Stettler,4807026,53.176,52.6
White Sands,4807027,45.4545,45.4545
Rochon Sands,4807028,33.3333,33.3333
Donalda,4807029,68.75,78.5714
Flagstaff County,4807031,56.1404,57.1038
Alliance,4807032,50,50
Forestburg,4807036,52.9412,50.8772
Heisler,4807038,70,75
Daysland,4807039,59.375,60.6557
Killam,4807042,52.6316,53.4091
Sedgewick,4807044,53.75,48.5294
Lougheed,4807046,61.5385,41.6667
Hardisty,4807048,48.5294,50.8197
Wainwright No. 61,4807049,54.7325,55.3377
Chauvin,4807051,57.5758,60
Edgerton,4807052,47.3684,48.5714
Wainwright,4807054,52.8591,52.5038
Irma,4807056,60,60.3774
Red Deer County,4808001,54.8311,54.0513
Elnora,4808002,55.2632,52.7778
Delburne,4808004,49.4382,50
Jarvis Bay,4808005,50,52.9412
Bowden,4808006,55.6391,57.2816
Innisfail,4808008,52.6797,52.5074
Penhold,4808009,52.2843,52.7221
Red Deer,4808011,51.5259,51.2117
Sylvan Lake,4808012,52.265,52.5232
Norglenwold,4808013,57.6923,57.1429
Lacombe County,4808022,54.1133,53.6072
Birchcliff,4808023,45,47.0588
Eckville,4808024,61.0526,57.1429
Half Moon Bay,4808025,57.1429,50
Bentley,4808026,51.4019,50
Sunbreaker Cove,4808027,40,40
Gull Lake,4808028,56.25,53.3333
Blackfalds,4808029,52.8399,52.8134
Lacombe,4808031,50.9225,50.5467
Clive,4808032,61.3861,61.2903
Alix,4808034,57.8313,61.4286
Ponoka County,4808038,54.9296,53.6885
Ponoka,4808039,51.8367,51.7293
Parkland Beach,4808042,55.5556,55.5556
Rimbey,4808044,51.8325,53.125
Samson 137,4808811,54.0698,50.8929
Montana 139,4808813,53.3333,50
Clearwater County,4809002,54.0541,52.5618
Caroline,4809010,62.8571,61.5385
Rocky Mountain House,4809015,53.2448,50.3472
O'Chiese 203,4809806,48.9362,46.3415
Sunchild 202,4809809,50,45.4545
Camrose County,4810001,55.5435,55.2817
Bashaw,4810002,55.0725,58.3333
Rosalind,4810003,38.4615,41.6667
Edberg,4810006,62.5,62.5
Bawlf,4810009,52.2727,55
Camrose,4810011,50.7842,50.4025
Bittern Lake,4810012,60,63.1579
Hay Lakes,4810014,58,57.1429
Beaver County,4810016,55.7858,54.9515
Tofield,4810018,52.9954,53.4031
Ryley,4810019,55.5556,60
Holden,4810021,66.6667,68.75
Viking,4810022,49.5146,50
Minburn County No. 27,4810026,57.0957,55.9441
Vegreville,4810028,52.6902,52.4691
Innisfree,4810031,63.6364,50
Mannville,4810034,48.6842,46.9697
Vermilion River County,4810036,54.5161,54.9087
Paradise Valley,4810038,57.1429,42.8571
Lloydminster (Part),4810039,52.5605,52.1626
Kitscoty,4810041,53.5354,53.9326
Vermilion,4810042,53.222,52.6455
Marwayne,4810044,53.5211,55.5556
Two Hills County No. 21,4810048,63.1579,61.7544
Myrnam,4810051,40,36.3636
Two Hills,4810052,61.2245,61.1765
Lamont County,4810058,55.75,55.2846
Andrew,4810059,57.1429,53.125
Mundare,4810061,54.0984,55.1724
Chipman,4810062,65,68.75
Lamont,4810064,52.9032,55.1471
Bruderheim,4810066,57.4468,59.6639
Makaoo (Part) 120,4810805,50,33.3333
Wetaskiwin County No. 10,4811001,53.833,53.5411
Wetaskiwin,4811002,50.9821,50.7767
Grandview,4811004,57.1429,60
Poplar Bay,4811005,50,50
Crystal Springs,4811006,66.6667,40
Norris Beach,4811007,40,40
Ma-Me-O Beach,4811008,62.5,61.5385
Silver Beach,4811009,44.4444,44.4444
Millet,4811011,60.4651,61.2903
Leduc County,4811012,55.6169,55.7966
Beaumont,4811013,54.0505,54.2192
Leduc,4811016,52.1111,52.7923
Devon,4811018,52.9586,52.9508
Calmar,4811019,55.102,52.6066
Thorsby,4811021,52.5253,50
Golden Days,4811023,56.25,56.25
Warburg,4811024,58.4906,59.5745
Breton,4811026,53.6585,54.0541
Drayton Valley,4811031,53.2734,53.7681
Brazeau County,4811032,56.9782,57.2453
Parkland County,4811034,55.5718,54.9483
Seba Beach,4811038,50,50
Spring Lake,4811046,51.8072,52.6316
Stony Plain,4811048,52.6966,53.1389
Spruce Grove,4811049,52.4515,52.7755
Strathcona County,4811052,52.3022,52.25
Fort Saskatchewan,4811056,53.9757,54.1714
Sturgeon County,4811059,56.0465,56.5416
Edmonton,4811061,52.5878,52.6557
St. Albert,4811062,51.8519,51.9005
Gibbons,4811064,53.0792,54.6667
Redwater,4811065,57,58.5799
Bon Accord,4811066,56.051,55.8824
Morinville,4811068,51.8485,52.004
Legal,4811069,55.8333,58.2524
Ermineskin 138,4811801,56.4885,56.25
Pigeon Lake 138A,4811802,69.2308,60
Louis Bull 138B,4811803,53.7313,52.0833
Enoch Cree Nation,4811804,50,50
Alexander 134,4811805,55.7143,60
Wabamun 133A,4811806,59.2593,58.3333
Cold Lake,4812002,54.5767,55.3693
Bonnyville No. 87,4812004,54.9853,54.8571
Bonnyville,4812009,53.9394,53.8851
Bonnyville Beach,4812011,50,50
Glendon,4812012,56.5217,55.2632
Pelican Narrows,4812013,57.8947,52.9412
St. Paul County No. 19,4812014,56.2874,55.7662
Elk Point,4812016,53.1915,50.7937
St. Paul,4812018,49.2857,48.381
Horseshoe Bay,4812020,0,0
Smoky Lake County,4812022,57.4534,55.6738
Vilna,4812024,61.1111,61.1111
Waskatenau,4812026,58.3333,56.5217
Smoky Lake,4812029,56.338,55.3846
Lac la Biche County,4812037,53.25,52.4476
Unipouheos 121,4812802,52.2727,53.125
Puskiakiwenin 122,4812804,53.8462,58.0645
White Fish Lake 128,4812808,55,51.6129
Cold Lake 149,4812810,47.619,38.7097
Kehewin 123,4812811,57.5758,55.5556
Cold Lake 149A,4812813,40,50
Cold Lake 149B,4812815,60,50
Beaver Lake 131,4812828,56,50
Heart Lake 167,4812840,58.3333,54.5455
Lac Ste. Anne County,4813001,55.3459,55.4337
Mayerthorpe,4813002,52.2124,49
Val Quentin,4813005,41.1765,38.4615
West Cove,4813006,43.4783,40.9091
Yellowstone,4813007,75,71.4286
Ross Haven,4813008,54.5455,54.5455
Silver Sands,4813010,63.6364,75
Sunset Point,4813011,51.8519,40.9091
Alberta Beach,4813012,53.1915,50.6024
Birch Cove,4813013,40,40
Onoway,4813014,61.25,61.4286
South View,4813015,42.8571,33.3333
Sandy Beach,4813016,63.6364,58.8235
Sunrise Beach,4813017,52.9412,60
Barrhead County No. 11,4813018,55.9664,56.2842
Barrhead,4813019,51.8919,51.3595
Westlock County,4813028,53.9281,53.5354
Woodlands County,4813029,55.7471,54.902
Whitecourt,4813030,56.0847,55.9096
Westlock,4813031,54.5455,54.4271
Clyde,4813032,48.9796,45.6522
Larkspur,4813033,0,0
Thorhild County,4813036,56.6563,54.8822
Athabasca County,4813044,55.102,55.2593
Mewatha Beach,4813045,30,33.3333
Boyle,4813046,50,53.012
Sunset Beach,4813047,75,66.6667
Athabasca,4813048,48.8372,49.789
Island Lake,4813049,53.3333,53.8462
Island Lake South,4813051,57.1429,57.1429
Bondiss,4813053,50,45.4545
South Baptiste,4813055,57.1429,57.1429
West Baptiste,4813057,57.1429,57.1429
Whispering Hills,4813061,77.7778,66.6667
Alexis 133,4813811,51.6129,50
Yellowhead County,4814003,56.5134,55.7484
Hinton,4814019,54.3458,54.5265
Edson,4814024,54.1622,54.0049
Crowsnest Pass,4815007,53.5581,53.1828
Kananaskis,4815013,75,66.6667
Bighorn No. 8,4815015,54.2373,53.9394
Canmore,4815023,50.644,50.9412
Ghost Lake,4815027,50,33.3333
Improvement District No. 9 Banff,4815032,57.4468,56.5217
Jasper,4815033,50,49.8929
Banff,4815035,51.9231,52.3753
Ranchland No. 66,4815045,45.4545,50
Wood Buffalo,4816037,57.6603,58.723
Improvement District No. 24 Wood Buffalo,4816051,58.3333,58.6207
Fort Mckay 174,4816810,48.0769,50
Janvier 194,4816817,55,57.1429
Gregoire Lake 176,4816821,47.0588,54.5455
Gregoire Lake 176A,4816822,55.5556,75
Allison Bay 219,4816850,42.8571,50
Dog Head 218,4816852,33.3333,33.3333
High Prairie,4817021,53.2319,53.4483
Swan Hills,4817024,60,57.1429
Northern Sunrise County,4817026,58.9888,57.485
Big Lakes County,4817027,53.303,51.3021
Slave Lake,4817029,53.8564,54.8529
Opportunity No. 17,4817031,51.0274,47.3029
Lesser Slave River No. 124,4817033,57.0533,55.5172
Nampa,4817039,59.5745,61.9048
Clear Hills,4817062,58.1818,57.5397
Hines Creek,4817064,61.2903,60.7143
Northern Lights County,4817076,56.0976,56.25
Manning,4817078,52.9412,53.6364
High Level,4817093,50.7538,50.6887
Mackenzie County,4817095,62.5857,62.0064
Rainbow Lake,4817097,54.0984,55.9322
Jean Baptiste Gambler 183,4817817,71.4286,71.4286
Wabasca 166,4817818,46.1538,50
Wabasca 166A,4817819,37.2093,25.8065
Wabasca 166B,4817821,70,100
Wabasca 166C,4817822,46.1538,42.8571
Wabasca 166D,4817823,39.2157,28.5714
Utikoomak Lake 155,4817824,52.9412,52
Utikoomak Lake 155A,4817827,66.6667,0
Drift Pile River 150,4817828,52.2727,50
Sucker Creek 150A,4817829,52.0833,48.7179
Swan River 150E,4817831,60,57.1429
Sawridge 150G,4817832,60,100
Fox Lake 162,4817835,56.962,54.8387
Kapawe'no First Nation 150B,4817836,66.6667,100
John D'Or Prairie 215,4817837,54.8387,53.3333
Tall Cree 173,4817838,44.4444,46.6667
Tall Cree 173A,4817840,63.6364,77.7778
Boyer 164,4817842,66.6667,0
Child Lake 164A,4817843,33.3333,33.3333
Hay Lake 209,4817845,59.2593,58.6957
Bushe River 207,4817848,54.0541,61.9048
Upper Hay River 212,4817849,53.8462,45.4545
Little Buffalo,4817853,48.1481,52
Desmarais,4817855,57.1429,57.1429
Woodland Cree 226,4817856,51.8519,47.8261
Woodland Cree 228,4817857,80,80
Fort Vermilion 173B,4817859,60,100
Loon Lake 235,4817860,60,53.5714
Kapawe'no First Nation 229,4817865,42.8571,60
Fox Creek,4818002,58.3333,60.355
Greenview No. 16,4818015,56.1056,56.5271
Valleyview,4818018,47.619,46.0993
Sturgeon Lake 154,4818816,54.878,54.386
Grande Prairie County No. 1,4819006,54.9057,55.4071
Hythe,4819008,54.386,52.0833
